kategori,titel,url
Øvrige naturvidenskab,International bachelor natural sciences,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/oevrigenaturvidenskab/international-bachelor-natural-sciences
Øvrige naturvidenskab,Landskabsarkitektur,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/oevrigenaturvidenskab/landskabsarkitektur
Øvrige naturvidenskab,Naturvidenskabelig bachelor,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/oevrigenaturvidenskab/naturvidenskabelig-bachelor
Erhvervsøkonomi,Business administration and digital management,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/business-administration-and-digital-management
Erhvervsøkonomi,Business administration and service management,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/business-administration-and-service-management
Erhvervsøkonomi,Business administration and sociology,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/business-administration-and-sociology
Erhvervsøkonomi,Erhvervsoekonomi erhvervssprog negot,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/erhvervsoekonomi-erhvervssprog-negot
Erhvervsøkonomi,Erhvervsoekonomi informationsteknologi,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/erhvervsoekonomi-informationsteknologi
Erhvervsøkonomi,Erhvervsoekonomi med tilvalg,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/erhvervsoekonomi-med-tilvalg
Erhvervsøkonomi,Erhvervsoekonomi og erhvervsjura,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/erhvervsoekonomi-og-erhvervsjura
Erhvervsøkonomi,Erhvervsoekonomi og filosofi,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/erhvervsoekonomi-og-filosofi
Erhvervsøkonomi,Erhvervsoekonomi og matematik,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/erhvervsoekonomi-og-matematik
Erhvervsøkonomi,Erhvervsoekonomi og projektledelse,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/erhvervsoekonomi-og-projektledelse
Erhvervsøkonomi,Erhvervsoekonomi og psykologi,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/erhvervsoekonomi-og-psykologi
